block,t_hr,h_B,h_L,h_D,tau,hunger,stage_idx,eligible,w,eta_t,lam,alpha0_hunger,q,fired,choice_idx0,choice_name,duration_blocks,appeal_big_e_cook,eta_k_big_e_cook,cost_big_e_cook,hunger_term_big_e_cook,prob_big_e_cook,appeal_small_e_cook,eta_k_small_e_cook,cost_small_e_cook,hunger_term_small_e_cook,prob_small_e_cook,appeal_quick_e_snack,eta_k_quick_e_snack,cost_quick_e_snack,hunger_term_quick_e_snack,prob_quick_e_snack,appeal_big_wood_cook,eta_k_big_wood_cook,cost_big_wood_cook,hunger_term_big_wood_cook,prob_big_wood_cook,appeal_small_wood,eta_k_small_wood,cost_small_wood,hunger_term_small_wood,prob_small_wood,appeal_cold_no_cook,eta_k_cold_no_cook,cost_cold_no_cook,hunger_term_cold_no_cook,prob_cold_no_cook
0,0.0,0,0,0,0.0,0.0,-1,False,-5.999973168097155,0.0,0.0,0.0,0.00037090340079839204,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0833,0,0,0,0.08333333333333333,0.004166666666666667,-1,False,-5.9999646313387665,0.0,0.0,0.0016666666666666668,0.00037152371993410665,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.1667,0,0,0,0.16666666666666666,0.008333333333333333,-1,False,-5.999953522222256,0.0,0.0,0.0033333333333333335,0.0003721460288618205,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.25,0,0,0,0.25,0.0125,-1,False,-5.999939112005,0.0,0.0,0.005000000000000001,0.00037277060506454065,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.3333,0,0,0,0.3333333333333333,0.016666666666666666,-1,False,-5.999920479779314,0.0,0.0,0.006666666666666667,0.000373397799444522,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.4167,0,0,0,0.41666666666666663,0.020833333333333332,-1,False,-5.999896465982879,0.0,0.0,0.008333333333333333,0.000374028054288318,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.5,0,0,0,0.49999999999999994,0.024999999999999998,-1,False,-5.999865615822288,0.0,0.0,0.01,0.0003746619251890977,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.5833,0,0,0,0.5833333333333333,0.029166666666666664,-1,False,-5.99982611072513,0.0,0.0,0.011666666666666665,0.00037530010768356965,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.6667,0,0,0,0.6666666666666666,0.03333333333333333,-1,False,-5.999775685659233,0.0,0.0,0.013333333333333334,0.0003759434694781579,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.75,0,0,0,0.75,0.037500000000000006,-1,False,-5.999711529858415,0.0,0.0,0.015000000000000003,0.00037659308926848534,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.8333,0,0,0,0.8333333333333334,0.04166666666666667,-1,False,-5.999630168174885,0.0,0.0,0.01666666666666667,0.0003772503032977905,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.9167,0,0,0,0.9166666666666667,0.04583333333333334,-1,False,-5.999527319943518,0.0,0.0,0.018333333333333337,0.00037791676095360005,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.0,0,0,0,1.0,0.05,-1,False,-5.999397731898653,0.0,0.0,0.020000000000000004,0.0003785944908675705,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.0833,0,0,0,1.0833333333333333,0.05416666666666667,-1,False,-5.999234981337812,0.0,0.0,0.021666666666666667,0.00037928597916063466,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.1667,0,0,0,1.1666666666666665,0.05833333333333333,-1,False,-5.999031245389209,0.0,0.0,0.02333333333333333,0.0003799942616643987,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1.25,0,0,0,1.2499999999999998,0.06249999999999999,-1,False,-5.998777031924181,0.0,0.0,0.024999999999999998,0.000380723032150341,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.3333,0,0,0,1.333333333333333,0.06666666666666665,-1,False,-5.998460867377578,0.0,0.0,0.02666666666666666,0.00038147676881182947,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1.4167,0,0,0,1.4166666666666663,0.07083333333333332,-1,False,-5.998068936517567,0.0,0.0,0.02833333333333333,0.00038226088147255997,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1.5,0,0,0,1.4999999999999996,0.07499999999999998,-1,False,-5.997584669063349,0.0,0.0,0.029999999999999995,0.000383081882242961,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1.5833,0,0,0,1.5833333333333328,0.07916666666666665,-1,False,-5.996988268010109,0.0,0.0,0.03166666666666666,0.00038394758262049643,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.6667,0,0,0,1.666666666666666,0.08333333333333331,-1,False,-5.996256174613194,0.0,0.0,0.033333333333333326,0.00038486732034169165,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.75,0,0,0,1.7499999999999993,0.08749999999999997,-1,False,-5.995360465239166,0.0,0.0,0.03499999999999999,0.00038585221965959884,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.8333,0,0,0,1.8333333333333326,0.09166666666666663,-1,False,-5.9942681757428184,0.0,0.0,0.03666666666666665,0.00038691548916399034,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.9167,0,0,0,1.9166666666666659,0.0958333333333333,-1,False,-5.99294054971143,0.0,0.0,0.03833333333333332,0.0003880727618156401,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2.0,0,0,0,1.9999999999999991,0.09999999999999996,-1,False,-5.991332207865507,0.0,0.0,0.03999999999999999,0.0003893424825753065,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2.0833,0,0,0,2.0833333333333326,0.10416666666666663,-1,False,-5.989390237153912,0.0,0.0,0.04166666666666666,0.0003907463499315577,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2.1667,0,0,0,2.166666666666666,0.10833333333333331,-1,False,-5.987053199663205,0.0,0.0,0.04333333333333333,0.000392309818846649,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2.25,0,0,0,2.2499999999999996,0.11249999999999999,-1,False,-5.984250063405218,0.0,0.0,0.045,0.00039406267424536926,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2.3333,0,0,0,2.333333333333333,0.11666666666666665,-1,False,-5.980899059376791,0.0,0.0,0.04666666666666666,0.00039603968629402096,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2.4167,0,0,0,2.4166666666666665,0.12083333333333333,-1,False,-5.976906472016494,0.0,0.0,0.04833333333333334,0.0003982813615140054,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2.5,0,0,0,2.5,0.125,-1,False,-5.972165373320572,0.0,0.0,0.05,0.00040083480744507763,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2.5833,0,0,0,2.5833333333333335,0.12916666666666668,-1,False,-5.966554314416767,0.0,0.0,0.05166666666666667,0.0004037547333648353,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2.6667,0,0,0,2.666666666666667,0.13333333333333336,-1,False,-5.959935992307745,0.0,0.0,0.053333333333333344,0.00040710461579280085,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2.75,0,0,0,2.7500000000000004,0.13750000000000004,-1,False,-5.952155913745573,0.0,0.0,0.05500000000000002,0.00041095806554754293,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2.8333,0,0,0,2.833333333333334,0.1416666666666667,-1,False,-5.943041082725375,0.0,0.0,0.05666666666666668,0.00041540044347372255,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2.9167,0,0,0,2.9166666666666674,0.14583333333333337,-1,False,-5.932398742808738,0.0,0.0,0.05833333333333335,0.0004205307852367255,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,3.0,0,0,0,3.000000000000001,0.15000000000000005,-1,False,-5.920015210301397,0.0,0.0,0.060000000000000026,0.00042646411259799044,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,3.0833,0,0,0,3.0833333333333344,0.15416666666666673,-1,False,-5.90565483908745,0.0,0.0,0.061666666666666696,0.00043333423037588466,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,3.1667,0,0,0,3.166666666666668,0.1583333333333334,-1,False,-5.889059162512435,0.0,0.0,0.06333333333333337,0.0004412971362296255,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,3.25,0,0,0,3.2500000000000013,0.1625000000000001,-1,False,-5.869946261936192,0.0,0.0,0.06500000000000004,0.0004505352062787572,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3.3333,0,0,0,3.333333333333335,0.16666666666666674,-1,False,-5.848010415249467,0.0,0.0,0.0666666666666667,0.0004612623657806183,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,3.4167,0,0,0,3.4166666666666683,0.17083333333333342,-1,False,-5.822922081554517,0.0,0.0,0.06833333333333337,0.0004737305138246264,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3.5,0,0,0,3.5000000000000018,0.1750000000000001,-1,False,-5.794328280126389,0.0,0.0,0.07000000000000005,0.0004882375485337685,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,3.5833,0,0,0,3.5833333333333353,0.17916666666666678,-1,False,-5.761853422468546,0.0,0.0,0.07166666666666671,0.0005051374403073794,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,3.6667,0,0,0,3.6666666666666687,0.18333333333333346,-1,False,-5.725100655525619,0.0,0.0,0.07333333333333339,0.0005248529328520451,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,3.75,0,0,0,3.750000000000002,0.1875000000000001,-1,False,-5.683653771698763,0.0,0.0,0.07500000000000005,0.0005478916253730554,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,3.8333,0,0,0,3.8333333333333357,0.1916666666666668,-1,False,-5.637079737025557,0.0,0.0,0.07666666666666672,0.0005748664180119015,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,3.9167,0,0,0,3.916666666666669,0.19583333333333347,-1,False,-5.584931882566872,0.0,0.0,0.0783333333333334,0.0006065216046052956,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,4.0,0,0,0,4.000000000000003,0.20000000000000015,-1,False,-5.5267537955581245,0.0,0.0,0.08000000000000007,0.0006437662961781962,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,4.0833,0,0,0,4.083333333333336,0.2041666666666668,-1,False,-5.462083936153659,0.0,0.0,0.08166666666666672,0.0006877173868819006,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,4.1667,0,0,0,4.166666666666669,0.20833333333333345,-1,False,-5.390460992604974,0.0,0.0,0.08333333333333338,0.0007397549724296793,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,4.25,0,0,0,4.250000000000002,0.2125000000000001,-1,False,-5.311429972521844,0.0,0.0,0.08500000000000005,0.000801594052027787,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,4.3333,0,0,0,4.333333333333335,0.21666666666666676,-1,False,-5.224549010606484,0.0,0.0,0.08666666666666671,0.000875377554072716,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,4.4167,0,0,0,4.416666666666668,0.2208333333333334,-1,False,-5.129396854147404,0.0,0.0,0.08833333333333337,0.0009637973028254419,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,4.5,0,0,0,4.500000000000001,0.22500000000000006,-1,False,-5.025580966925286,0.0,0.0,0.09000000000000002,0.0010702515782877707,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,4.5833,0,0,0,4.583333333333334,0.2291666666666667,-1,False,-4.912746170422649,0.0,0.0,0.09166666666666669,0.0011990505072326533,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,4.6667,0,0,0,4.666666666666667,0.23333333333333336,-1,False,-4.790583718836261,0.0,0.0,0.09333333333333335,0.0013556837336339367,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,4.75,0,0,0,4.75,0.23750000000000002,-1,False,-4.658840681942432,0.0,0.0,0.09500000000000001,0.0015471686633753204,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,4.8333,0,0,0,4.833333333333333,0.24166666666666667,-1,False,-4.517329488008648,0.0,0.0,0.09666666666666668,0.0017825019284910988,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,4.9167,0,0,0,4.916666666666666,0.24583333333333332,-1,False,-4.365937458386431,0.0,0.0,0.09833333333333333,0.002073241145719165,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
